City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,current Description
155,Husavik,66.0449,-17.3389,57.11,62,75,7.54,IS,2021-08-07 15:06:44,light rain
156,Ust-Maya,60.4167,134.5333,53.49,64,5,7.74,RU,2021-08-07 15:06:45,clear sky
157,Yellowknife,62.456,-114.3525,59.2,90,100,12.19,CA,2021-08-07 15:06:45,light rain
158,Dzerzhinsk,56.2389,43.4631,75.02,69,40,6.71,RU,2021-08-07 15:06:45,scattered clouds
159,Mar Del Plata,-38.0023,-57.5575,55.42,100,90,12.66,AR,2021-08-07 15:06:46,mist
160,Ciudad Bolivar,8.1222,-63.5497,85.1,60,44,5.35,VE,2021-08-07 15:06:46,scattered clouds
161,Avarua,-21.2078,-159.775,73.45,88,20,4.61,CK,2021-08-07 15:06:46,few clouds
162,Clyde River,70.4692,-68.5914,37.17,95,100,7.96,CA,2021-08-07 15:06:47,overcast clouds
163,Victoria,22.2855,114.1577,84.33,86,100,1.01,HK,2021-08-07 15:03:01,overcast clouds
164,Darayya,33.459,36.2374,85.33,14,0,17.11,SY,2021-08-07 15:06:47,clear sky
165,Sobolevo,54.4299,31.8996,68.74,70,100,8.66,RU,2021-08-07 15:06:48,overcast clouds
166,Geraldton,-28.7667,114.6,66.61,88,75,19.57,AU,2021-08-07 15:06:48,broken clouds
167,Bengkulu,-3.8004,102.2655,77.7,88,17,3.44,ID,2021-08-07 15:06:48,light rain
168,Honningsvag,70.9821,25.9704,54.32,84,85,2.62,NO,2021-08-07 15:06:49,overcast clouds
169,Hobyo,5.3505,48.5268,77.34,78,97,28.7,SO,2021-08-07 15:06:49,overcast clouds
170,Aitape,-3.1374,142.3475,77.34,83,100,3.8,PG,2021-08-07 15:06:50,overcast clouds
171,Lebu,-37.6167,-73.65,50.65,71,7,16.2,CL,2021-08-07 15:06:50,clear sky
172,Atuona,-9.8,-139.0333,77.23,82,92,19.28,PF,2021-08-07 15:06:50,light rain
173,Whitehorse,60.7161,-135.0538,54.37,94,75,4.61,CA,2021-08-07 15:06:51,broken clouds
174,Maunatlala,-22.597,27.6301,82.24,13,0,4.23,BW,2021-08-07 15:06:51,clear sky
175,Lerwick,60.1545,-1.1494,62.6,92,100,25.61,GB,2021-08-07 15:06:52,overcast clouds
176,Vallenar,-28.5708,-70.7581,57.69,64,7,1.32,CL,2021-08-07 15:06:52,clear sky
177,Shingu,33.7333,135.9833,80.91,84,4,6.24,JP,2021-08-07 15:06:53,clear sky
178,Oranjemund,-28.55,16.4333,63.81,53,23,6.49,NA,2021-08-07 15:06:53,few clouds
179,Saskylakh,71.9167,114.0833,47.73,81,16,7.83,RU,2021-08-07 15:06:53,few clouds
180,Kang,-23.6752,22.7876,80.44,9,2,1.25,BW,2021-08-07 15:06:54,clear sky
181,Biu,10.6129,12.1946,70.56,90,100,7.02,NG,2021-08-07 15:06:54,overcast clouds
182,Hithadhoo,-0.6,73.0833,82.56,67,100,4.25,MV,2021-08-07 15:06:54,moderate rain
183,Nabire,-3.3667,135.4833,75.94,91,100,3.24,ID,2021-08-07 15:06:55,overcast clouds
184,Jawor,51.0513,16.1935,82.6,42,41,7.92,PL,2021-08-07 15:06:55,scattered clouds
185,Glamoc,44.0458,16.8486,79.95,32,4,10.45,BA,2021-08-07 15:06:55,clear sky
186,Lincoln,40.8,-96.667,79.66,77,20,7.0,US,2021-08-07 15:05:54,few clouds
187,Sao Filipe,14.8961,-24.4956,78.39,79,30,5.57,CV,2021-08-07 15:06:56,scattered clouds
188,Tonota,-21.4833,27.4833,80.92,14,0,9.66,BW,2021-08-07 15:06:56,clear sky
189,Puqi,29.7167,113.8833,79.05,92,22,1.77,CN,2021-08-07 15:06:57,few clouds
190,Shediac,46.2198,-64.5411,78.19,58,94,10.76,CA,2021-08-07 15:06:57,overcast clouds
191,Birao,10.2849,22.7882,76.28,83,100,7.63,CF,2021-08-07 15:06:57,overcast clouds
192,Marsa Matruh,31.3525,27.2453,83.23,68,0,18.97,EG,2021-08-07 15:06:58,clear sky
193,Dingle,10.9995,122.6711,77.38,88,19,4.83,PH,2021-08-07 15:06:58,light rain
194,Camargo,27.6667,-105.1667,79.03,50,42,10.4,MX,2021-08-07 15:06:59,scattered clouds
195,Mackay,-21.15,149.2,59.04,77,1,7.94,AU,2021-08-07 15:06:59,clear sky
196,Telfs,47.3,11.0667,81.18,64,95,1.86,AT,2021-08-07 15:06:59,overcast clouds
197,Lompoc,34.6391,-120.4579,64.92,92,90,3.44,US,2021-08-07 15:07:00,overcast clouds
198,Sitka,57.0531,-135.33,57.09,94,90,0.0,US,2021-08-07 15:03:06,light rain
199,Cochabamba,-17.3895,-66.1568,66.2,33,1,1.99,BO,2021-08-07 15:02:46,clear sky
200,Fortuna,40.5982,-124.1573,60.85,76,90,0.0,US,2021-08-07 15:07:00,overcast clouds
201,Tyrma,50.0833,132.1667,54.57,89,100,4.9,RU,2021-08-07 15:07:01,moderate rain
202,Antalaha,-14.9003,50.2788,69.53,87,71,7.99,MG,2021-08-07 15:07:01,light rain
203,Klaksvik,62.2266,-6.589,67.12,89,100,20.38,FO,2021-08-07 15:07:02,overcast clouds
204,Dole,47.0833,5.5,66.11,88,90,11.5,FR,2021-08-07 15:07:02,overcast clouds
205,Lagos,6.5833,3.75,81.1,80,81,8.93,NG,2021-08-07 15:02:05,moderate rain
206,Roebourne,-20.7833,117.1333,71.55,62,98,5.66,AU,2021-08-07 15:07:03,light rain
207,Anchorage,61.2181,-149.9003,57.97,91,90,3.44,US,2021-08-07 15:06:12,overcast clouds
208,Pasinler,39.9803,41.6764,67.19,46,46,6.26,TR,2021-08-07 15:07:03,scattered clouds
209,Avera,33.194,-82.5271,80.47,71,99,2.89,US,2021-08-07 15:07:04,overcast clouds
210,Baykit,61.67,96.37,60.28,62,13,3.71,RU,2021-08-07 15:07:04,few clouds
211,Dauphin,51.1494,-100.0502,78.13,32,69,7.96,CA,2021-08-07 15:07:04,broken clouds
212,Georgiyevka,43.0369,74.7114,84.24,26,0,11.18,KZ,2021-08-07 15:07:05,clear sky
213,Upernavik,72.7868,-56.1549,41.09,93,100,9.4,GL,2021-08-07 15:07:05,overcast clouds
214,Kahului,20.8947,-156.47,73.42,75,1,12.66,US,2021-08-07 15:07:05,clear sky
215,Mascote,-15.5631,-39.3025,80.24,39,35,6.6,BR,2021-08-07 15:07:06,scattered clouds
216,Faanui,-16.4833,-151.75,77.9,69,94,9.24,PF,2021-08-07 15:07:06,overcast clouds
217,Kangaatsiaq,68.3065,-53.4641,41.34,89,100,8.75,GL,2021-08-07 15:07:07,overcast clouds
218,Moron,-34.6534,-58.6198,74.01,68,12,5.01,AR,2021-08-07 15:07:07,few clouds
219,Padang,-0.9492,100.3543,77.05,85,18,3.56,ID,2021-08-07 15:07:07,few clouds
220,Bystryy Istok,52.371,84.3873,65.93,67,82,4.32,RU,2021-08-07 15:07:08,broken clouds
221,Winnemucca,40.973,-117.7357,69.12,24,1,3.44,US,2021-08-07 15:07:08,clear sky
222,Sanary-Sur-Mer,43.1178,5.8001,89.38,65,86,4.0,FR,2021-08-07 15:07:08,overcast clouds
223,Alyangula,-13.8483,136.4192,68.13,67,97,8.63,AU,2021-08-07 15:07:09,overcast clouds
224,Pucallpa,-8.3791,-74.5539,88.05,33,1,0.6,PE,2021-08-07 15:02:42,clear sky
225,Iwanai,42.9744,140.5089,73.13,96,100,5.97,JP,2021-08-07 15:07:09,overcast clouds
226,Kozulka,50.0351,23.797,75.49,61,87,4.94,UA,2021-08-07 15:07:10,overcast clouds
227,Chapais,49.7834,-74.8492,58.41,51,28,7.92,CA,2021-08-07 15:07:10,scattered clouds
228,Smithers,54.7804,-127.1743,52.77,79,73,2.04,CA,2021-08-07 15:07:10,broken clouds
229,Pacific Grove,36.6177,-121.9166,64.42,92,75,1.01,US,2021-08-07 15:07:11,broken clouds
230,Trinidad,-14.8333,-64.9,90.23,27,2,4.92,BO,2021-08-07 15:07:11,clear sky
231,Hasaki,35.7333,140.8333,79.2,90,100,9.44,JP,2021-08-07 15:07:12,light rain
232,Trairi,-3.2778,-39.2689,90.61,39,59,15.28,BR,2021-08-07 15:06:23,broken clouds
233,Garissa,-0.4536,39.6401,84.45,43,70,21.52,KE,2021-08-07 15:07:12,broken clouds
234,Balkanabat,39.5108,54.3671,104.85,10,0,12.3,TM,2021-08-07 15:07:13,clear sky
235,Wuda,39.4994,106.7117,85.55,18,100,27.34,CN,2021-08-07 15:07:13,light rain
236,Kashi,39.4547,75.9797,79.27,31,53,25.88,CN,2021-08-07 15:07:13,broken clouds
237,Caiaponia,-16.9567,-51.8103,83.34,26,84,8.57,BR,2021-08-07 15:07:14,broken clouds
238,Maceio,-9.6658,-35.7353,80.04,65,75,14.97,BR,2021-08-07 15:07:14,broken clouds
239,Akyab,20.15,92.9,80.83,87,80,6.29,MM,2021-08-07 15:07:15,broken clouds
240,Seguela,7.9611,-6.6731,90.18,36,62,7.67,CI,2021-08-07 15:07:15,broken clouds
241,Nizhniy Baskunchak,48.2198,46.8311,97.54,16,0,14.5,RU,2021-08-07 15:07:15,clear sky
242,Banyo,6.75,11.8167,69.75,89,100,3.49,CM,2021-08-07 15:07:16,light rain
243,Jumla,29.2747,82.1838,63.86,96,84,1.57,NP,2021-08-07 15:07:16,broken clouds
244,Bourges,47.25,2.4167,71.19,45,76,20.31,FR,2021-08-07 15:02:44,broken clouds
245,Touros,-5.1989,-35.4608,85.1,53,50,22.64,BR,2021-08-07 15:07:17,scattered clouds
246,West Bay,19.3667,-81.4167,89.06,71,20,5.01,KY,2021-08-07 15:07:17,few clouds
247,San Patricio,28.017,-97.5169,89.46,64,3,9.95,US,2021-08-07 15:07:17,clear sky
248,Hirara,24.8,125.2833,81.86,89,100,26.51,JP,2021-08-07 15:07:18,very heavy rain
249,Atocha,-20.9333,-66.2333,50.38,10,9,8.66,BO,2021-08-07 15:07:18,clear sky
250,Akhmeta,42.0311,45.2075,88.32,27,42,5.01,GE,2021-08-07 15:07:19,scattered clouds
251,Apatou,5.155,-54.3472,83.55,74,99,3.02,GF,2021-08-07 15:07:19,overcast clouds
252,Port Macquarie,-31.4333,152.9167,48.16,100,11,1.14,AU,2021-08-07 15:07:19,few clouds
253,Norman Wells,65.282,-126.8329,42.66,89,100,7.27,CA,2021-08-07 15:07:20,overcast clouds
254,Mogadishu,2.0371,45.3438,76.59,82,28,18.72,SO,2021-08-07 15:07:20,light rain
255,Bethel,41.3712,-73.414,84.18,72,1,10.36,US,2021-08-07 15:06:32,clear sky
256,Bow Island,49.8668,-111.3684,77.11,37,80,19.08,CA,2021-08-07 15:07:21,broken clouds
257,Shakhovskaya,56.0283,35.5097,72.52,82,100,8.21,RU,2021-08-07 15:07:21,overcast clouds
258,Taiyuan,37.8694,112.5603,78.66,53,0,11.18,CN,2021-08-07 15:07:22,clear sky
259,Carmen,18.6333,-91.8333,82.44,83,40,11.5,MX,2021-08-07 15:03:33,scattered clouds
260,Eyl,7.9803,49.8164,78.48,71,91,26.78,SO,2021-08-07 15:07:23,overcast clouds
261,West Odessa,31.8424,-102.4988,78.28,75,75,16.11,US,2021-08-07 15:05:22,broken clouds
262,Atar,20.5169,-13.0499,98.65,33,6,13.91,MR,2021-08-07 15:07:23,clear sky
263,Laguna,38.421,-121.4238,79.3,65,1,1.99,US,2021-08-07 15:04:55,haze
264,San Carlos De Bariloche,-41.1456,-71.3082,38.95,60,40,21.85,AR,2021-08-07 15:07:23,scattered clouds
265,Lazaro Cardenas,17.9583,-102.2,80.82,81,89,4.85,MX,2021-08-07 15:07:24,overcast clouds
